Pincode,Latitude,Longitude
411028,18.5004347,73.9395879
411028,18.4752589,73.924989
411037,18.4672524,73.8641823
411008,18.54072,73.822497
411038,18.4467405,73.8585979
411058,18.4804818,73.8009341
411004,18.5144406,73.8332788
411004,18.5219448,73.8475182
411048,18.4645115,73.8872252
411051,18.473053,73.8142409
411001,18.5109077,73.8682398
411001,18.5340392,73.8789242
411001,18.537371,73.873285
411008,18.5427018,73.8287244
411001,18.5106336,73.8720847
411036,18.5343871,73.9276151
411038,18.5065927,73.8024563
411001,18.5136943,73.8807204
411030,18.5114354,73.8487609
411003,18.5051906,73.8446065
411007,18.5465749,73.8258359
411011,18.520495,73.8559879
411041,18.4568042,73.8243712
411048,18.4660622,73.8906096
411011,18.5202459,73.869658
411052,18.498391,73.826179
411027,18.5616086,73.8136243
411009,18.4783181,73.8515392
411001,18.5291703,73.8590245
411008,18.5390577,73.8094622
411021,18.5352778,73.7827778
411030,18.5158349,73.8646487
411048,18.4530801,73.8836263
411048,18.522685,73.8673704
411052,18.4907586,73.8153671
411001,18.5659195,73.9149293
411006,18.5648596,73.8777822
411001,18.533497,73.8856255
411006,18.5446855,73.884393
411048,18.5201846,73.9311821
411048,18.5239477,73.8705049
411001,18.5222714,73.875458
411041,18.4660485,73.8165252
411021,18.522595,73.7798764
411048,18.5394402,73.8998047
411004,18.5142766,73.8401408
411009,18.4927624,73.8482885
411038,18.5063372,73.8248365
411002,18.5075017,73.8581684
411042,18.5006875,73.8595987
411005,18.5300524,73.850092
411042,18.5040991,73.8627441
411043,18.458988,73.8577343
411048,18.5071596,73.9177621
411006,18.5525753,73.8960144
411030,18.5162231,73.8479023
411058,18.4814154,73.8019738
